schema_name_source,schema_name,column_name_source,column_name,group,description,delete,disposition,column_type,source,version_added,is_redcap_calculation,date_shift
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_bc_ref,diagnosis_as_ds_bc_ref,diagnosis,"Degree of Stenosis (Bogdasarian Classification)
Picture for reference",YES,drop,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_bvfi_gs,diagnosis_as_ds_bvfi_gs,diagnosis,Bilateral Vocal fold immobility or Glottic Stenosis Subtype,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_bvfi_gs_other,diagnosis_as_ds_bvfi_gs_other,diagnosis,"Other, Please specify",NO,review,VARIABLE,redcap,v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_cc_ref,diagnosis_as_ds_cc_ref,diagnosis,"Anterior Glottic Web classification (Cohen)
Picture for reference",YES,drop,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_eps,diagnosis_as_ds_eps,diagnosis,How would you subjectively estimate the percent of stenosis from 0 to 100?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_mcg,diagnosis_as_ds_mcg,diagnosis,Degree of Stenosis (Myer-Cotton Grade),NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_mcg_ref,diagnosis_as_ds_mcg_ref,diagnosis,"Degree of Stenosis (Myer-Cotton Grade) 
Picture for reference",YES,drop,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_mluas,diagnosis_as_ds_mluas,diagnosis,Please describe levels and severity of stenosis involved,NO,review,VARIABLE,redcap,v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_ds_ods,diagnosis_as_ds_ods,diagnosis,How would you subjectively classify the overall degree of stenosis?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_etiology,diagnosis_as_etiology,diagnosis,What is the etiology?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_etiology_auto_immune,diagnosis_as_etiology_auto_immune,diagnosis,Auto-immune or granulomatous disease Subcategory,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_etiology_other,diagnosis_as_etiology_other,diagnosis,"Other, Please specify",NO,review,VARIABLE,redcap,v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_gsd,diagnosis_as_gold_standard_diagnosis,diagnosis,"Does the participant have airway stenosis confirmed by a laryngoscopy, bronchoscopy or CT imaging?",NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_gsd_yes,diagnosis_as_gold_standard_diagnosis_yes,diagnosis,Confirmed by,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_pft,diagnosis_as_pft,diagnosis,Has the participant had pulmonary function testing within the past 3 months?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_pft_document,diagnosis_as_pft_document,diagnosis,Please upload the PFT document,NO,drop,VARIABLE,redcap,v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_treatment,diagnosis_as_treatment,diagnosis,What treatment has the participant undergone for their stenosis?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_treatment_in_office,diagnosis_as_treatment_in_office,diagnosis,In-office/awake treatment options,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_treatment_surgery,diagnosis_as_treatment_surgery,diagnosis,Surgery options,NO,release,VARIABLE,redcap,pre-v4,NO,NO
airway_stenosis_schema,airway_stenosis,diagnosis_as_treatment_surgery_other,diagnosis_as_treatment_surgery_other,diagnosis,"Other Surgery option, Please Specify",NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_ca_adas_cog_score,diagnosis_alz_dementia_mci_ca_adas_cog_score,diagnosis,Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-Cog) score:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_ca_mmse_score,diagnosis_alz_dementia_mci_ca_mmse_score,diagnosis,Mini-Mental State Examination (MMSE) score:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_ca_moca_score,diagnosis_alz_dementia_mci_ca_moca_score,diagnosis,Montreal Cognitive Assessment (MoCA) score:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_ca_other,diagnosis_alz_dementia_mci_ca_other,diagnosis,Other cognitive assessment tool (Please Specify):,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_ca_other_score,diagnosis_alz_dementia_mci_ca_other_score,diagnosis,Other cognitive assessment tool score:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_ca_rudas_score,diagnosis_alz_dementia_mci_ca_rudas_score,diagnosis,Rowland Universal Dementia Assessment Scale (RUDAS) score:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_causes,diagnosis_alz_dementia_mci_causes,diagnosis,Have you excluded other causes of cognitive/functional changes (and/or other subtypes)?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_ds,diagnosis_alz_dementia_mci_ds,diagnosis,What is the current stage/severity of cognitive impairment or dementia in the participant?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_ds_cdr,diagnosis_alz_dementia_mci_ds_cdr,diagnosis,Clinical dementia rating (CDR) staging subcategory:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_dt,diagnosis_alz_dementia_mci_dt,diagnosis,Specify the disease type in the participant:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_dt_other,diagnosis_alz_dementia_mci_dt_other,diagnosis,"If you selected ""other"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_etiology,diagnosis_alz_dementia_mci_etiology,diagnosis,What is the suspected or known etiology in the participant?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_etiology_gf,diagnosis_alz_dementia_mci_etiology_gf,diagnosis,Genetic Factors Subcategory,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_etiology_gf_other,diagnosis_alz_dementia_mci_etiology_gf_other,diagnosis,"If you selected ""Other genetic factors"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_etiology_other,diagnosis_alz_dementia_mci_etiology_other,diagnosis,"If you selected ""other"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_etiology_other_medical_conditions,diagnosis_alz_dementia_mci_etiology_other_medical_conditions,diagnosis,"If you selected ""other medical conditions"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_gsd,diagnosis_alz_dementia_mci_gold_standard_diagnosis,diagnosis,"Does the participant have Major Neurocognitive Disorder - Alzheimer's Type, Mild Cognitive Impairment or other types of dementia?",NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_gsd_clinical_history,diagnosis_alz_dementia_mci_gold_standard_diagnosis_clinical_history,diagnosis,Clinical history:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_gsd_cognitive_testing,diagnosis_alz_dementia_mci_gold_standard_diagnosis_cognitive_testing,diagnosis,Cognitive Testing:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_gsd_confirmation_method,diagnosis_alz_dementia_mci_gold_standard_diagnosis_confirmation_method,diagnosis,How was this diagnosis confirmed? (Check all that apply),NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_gsd_confirmation_method_other,diagnosis_alz_dementia_mci_gold_standard_diagnosis_confirmation_method_other,diagnosis,Please specify:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_gsd_functional_inventory,diagnosis_alz_dementia_mci_gold_standard_diagnosis_functional_inventory,diagnosis,Functional Inventory:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_gsd_other_investigations,diagnosis_alz_dementia_mci_gold_standard_diagnosis_other_investigations,diagnosis,Other investigations:,NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_treatment_obtained,diagnosis_alz_dementia_mci_treatment_obtained,diagnosis,Has the participant undergone any treatment for Alzheimer's disease or cognitive impairment or other types of dementia?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_treatment_obtained_yes,diagnosis_alz_dementia_mci_treatment_obtained_yes,diagnosis,Yes,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_treatment_obtained_yes_medications,diagnosis_alz_dementia_mci_treatment_obtained_yes_medications,diagnosis,Medications:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_treatment_obtained_yes_medications_other,diagnosis_alz_dementia_mci_treatment_obtained_yes_medications_other,diagnosis,"If you selected ""Other"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_treatment_obtained_yes_npi,diagnosis_alz_dementia_mci_treatment_obtained_yes_npi,diagnosis,Non-pharmacological interventions:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
alzheimers_disease_mild_cognitive_impairme_schema,cognitive_impairment,diagnosis_alz_dementia_mci_treatment_obtained_yes_npi_other,diagnosis_alz_dementia_mci_treatment_obtained_yes_npi_other,diagnosis,"If you selected ""Other"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_cp,diagnosis_als_cp,diagnosis,Describe the clinical features and symptoms of ALS in the participant:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_disease_subtype,diagnosis_als_disease_subtype,diagnosis,Specify the type of ALS in the participant:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_disease_subtype_familial,diagnosis_als_disease_subtype_familial,diagnosis,"If you selected ""Familial ALS"", please specify the genetic mutation if known:",NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_dp,diagnosis_als_dp,diagnosis,Please provide information on the current stage and progression of ALS:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_etiology,diagnosis_als_etiology,diagnosis,What is the suspected or known etiology of ALS in the participant?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_etiology_environmental_factors,diagnosis_als_etiology_environmental_factors,diagnosis,"If you selected ""Environmental factors"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_etiology_genetic_factors,diagnosis_als_etiology_genetic_factors,diagnosis,Genetic Factors,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_etiology_genetic_factors_other,diagnosis_als_etiology_genetic_factors_other,diagnosis,"If you selected ""Other genetic factors"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_gsd,diagnosis_als_gold_standard_diagnosis,diagnosis,Does the participant have Amyotrophic Lateral Sclerosis (ALS)?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_gsd_calculation,diagnosis_als_gold_standard_diagnosis_calculation,diagnosis,"Calculated ALS score: a unitless numeric value representing overall ALS disease severity, with higher values indicating greater severity.",NO,release,VARIABLE,redcap,pre-v4,YES,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_gsd_category_1,diagnosis_als_gold_standard_diagnosis_category_1,diagnosis,"(1) Progressive motor impairment documented by history or repeated clinical assessment, preceded by normal motor function;",NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_gsd_category_2,diagnosis_als_gold_standard_diagnosis_category_2,diagnosis,(2) presence of UMN and LMN signs in at least 1 body region (with UMN and LMN dysfunction noted in the same body region if only one body region is involved) or LMN dysfunction in at least 2 body regions;,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_gsd_category_3,diagnosis_als_gold_standard_diagnosis_category_3,diagnosis,(3) investigations excluding other disease processes.,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_gsd_confirmation_method,diagnosis_als_gold_standard_diagnosis_confirmation_method,diagnosis,How was this diagnosis confirmed? (Check all that apply),NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_idt_emg_ncs,diagnosis_als_idt_emg_ncs,diagnosis,Electromyography (EMG) and Nerve Conduction Studies (NCS):,NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_idt_genetic_testing,diagnosis_als_idt_genetic_testing,diagnosis,"Genetic testing (if applicable, specify results):",NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_idt_lumbar_puncture,diagnosis_als_idt_lumbar_puncture,diagnosis,"Lumbar Puncture (if performed, specify findings):",NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_idt_mri,diagnosis_als_idt_mri,diagnosis,Magnetic Resonance Imaging (MRI) of the brain and spinal cord:,NO,drop,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_idt_other,diagnosis_als_idt_other,diagnosis,Other diagnostic tests (please specify):,NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_na_alsfrs_r_score,diagnosis_als_na_alsfrs_r_score,diagnosis,Revised ALS Functional Rating Scale (ALSFRS-R) score:,NO,release,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_na_fvc_percentage,diagnosis_als_na_fvc_percentage,diagnosis,Forced Vital Capacity (FVC) percentage (if measured):,NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_na_other,diagnosis_als_na_other,diagnosis,Other neurological assessment (please specify):,NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_treatment_and_management,diagnosis_als_treatment_and_management,diagnosis,Has the participant undergone any treatment or interventions for ALS?,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_treatment_and_management_yes,diagnosis_als_treatment_and_management_yes,diagnosis,Yes,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_treatment_and_management_yes_medications,diagnosis_als_treatment_and_management_yes_medications,diagnosis,Medications (if applicable):,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_treatment_and_management_yes_medications_other,diagnosis_als_treatment_and_management_yes_medications_other,diagnosis,"If you selected ""Other"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_treatment_and_management_yes_supportive_care,diagnosis_als_treatment_and_management_yes_supportive_care,diagnosis,Supportive Care:,NO,release,VARIABLE,redcap,pre-v4,NO,NO
amyotrophic_lateral_sclerosis_als_schema,amyotrophic_lateral_sclerosis,diagnosis_als_treatment_and_management_yes_supportive_care_other,diagnosis_als_treatment_and_management_yes_supportive_care_other,diagnosis,"If you selected ""Other"", please specify:",NO,review,VARIABLE,redcap,v4,NO,NO
anxiety_disorder_schema,anxiety,diagnosis_ad_active_psy_med_prob_other,diagnosis_ad_active_psy_med_prob_other,,"[DEPRECATED]
Please specify

MOVED IT TO ""Q - Mood - Participant History""",YES,drop,VARIABLE,redcap,v4,NO,NO
anxiety_disorder_schema,anxiety,diagnosis_ad_active_psy_med_problems,diagnosis_ad_active_psy_med_problems,,"[DEPRECATED]
Please select any active psychiatric problems and medical problems (select all that apply).

MOVED IT TO ""Q - Mood - Participant History""",YES,drop,VARIABLE,redcap,pre-v4,NO,NO
